Species,Construction,Display.structure,mating.system
Ailuroedus_buccoides,absent,absent,mono
Ailuroedus_stonii,absent,absent,mono
Ailuroedus_geislerorum,absent,absent,mono
Ailuroedus_crassirostris,absent,absent,mono
Ailuroedus_melanocephalus,absent,absent,mono
Amblyornis_flavifrons,present,present,poly
Amblyornis_inornata,present,present,poly
Amblyornis_germana,present,present,poly
Amblyornis_macgregoriae,present,present,poly
Ailuroedus_arfakianus,absent,absent,mono
Ailuroedus_melanotis,absent,absent,mono
Ailuroedus_jobiensis,absent,absent,mono
Ailuroedus_astigmaticus,absent,absent,mono
Ailuroedus_maculosus,absent,absent,mono
Archboldia_papuensis,present,absent,poly
Amblyornis_subalaris,present,present,poly
Chlamydera_cerviniventris,present,present,poly
Chlamydera_guttata,present,present,poly
Chlamydera_lauterbachi,present,present,poly
Chlamydera_maculata,present,present,poly
Chlamydera_nuchalis,present,present,poly
Prionodura_newtoniana,present,present,poly
Ptilonorhynchus_violaceus,present,present,poly
Sericulus_ardens,present,present,poly
Sericulus_aureus,present,present,poly
Sericulus_bakeri,present,present,poly
Sericulus_chrysocephalus,present,present,poly
Scenopoeetes_dentirostris,absent,present,poly
Menura_novaehollandiae,absent,absent,poly
Cormobates_placens,absent,absent,mono
Climacteris_rufa,absent,absent,mono
